LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
2,100,64,1,6,False,False,True,True,0.01,2,0.8111572265625,50000,604.2921776771545,113318,62528,8192,1024,cuda
2,100,64,1,7,False,False,True,True,0.01,0,0.7857666015625,50000,691.8760838508606,129958,70720,8192,1024,cuda
2,100,64,1,7,False,False,True,True,0.01,1,0.505126953125,50000,691.3511588573456,129958,70720,8192,1024,cuda
2,100,64,1,7,False,False,True,True,0.01,2,0.99078369140625,47500,659.1162552833557,129958,70720,8192,1024,cuda
2,100,64,1,8,False,False,True,True,0.01,0,0.98291015625,50000,791.4043116569519,146598,78912,8192,1024,cuda
2,100,64,1,8,False,False,True,True,0.01,1,0.9764404296875,50000,791.0290839672089,146598,78912,8192,1024,cuda
2,100,64,1,8,False,False,True,True,0.01,2,0.9798583984375,50000,792.257951259613,146598,78912,8192,1024,cuda
2,100,64,1,9,False,False,True,True,0.01,0,0.992919921875,15000,266.27040243148804,163238,87104,8192,1024,cuda
2,100,64,1,9,False,False,True,True,0.01,1,0.99676513671875,15000,266.76448917388916,163238,87104,8192,1024,cuda
2,100,64,1,9,False,False,True,True,0.01,2,0.97723388671875,50000,889.1264390945435,163238,87104,8192,1024,cuda
2,100,64,1,10,False,False,True,True,0.01,0,0.9857177734375,50000,984.8352670669556,179878,95296,8192,1024,cuda
2,100,64,1,10,False,False,True,True,0.01,1,0.99029541015625,20000,393.74903321266174,179878,95296,8192,1024,cuda
2,100,64,1,10,False,False,True,True,0.01,2,0.8609619140625,50000,985.2080705165863,179878,95296,8192,1024,cuda
3,100,64,1,1,False,False,True,True,0.01,0,0.010091145833333334,50000,194.3435778617859,30246,21696,8192,1024,cuda
3,100,64,1,1,False,False,True,True,0.01,1,0.010823567708333334,50000,194.71037411689758,30246,21696,8192,1024,cuda
3,100,64,1,1,False,False,True,True,0.01,2,0.010538736979166666,50000,194.23676681518555,30246,21696,8192,1024,cuda
3,100,64,1,2,False,False,True,True,0.01,0,0.4469807942708333,50000,285.8110213279724,46886,29888,8192,1024,cuda
3,100,64,1,2,False,False,True,True,0.01,1,0.3442789713541667,50000,285.6557152271271,46886,29888,8192,1024,cuda
3,100,64,1,2,False,False,True,True,0.01,2,0.3476969401041667,50000,286.1352789402008,46886,29888,8192,1024,cuda
3,100,64,1,3,False,False,True,True,0.01,0,0.9906819661458334,17500,132.13592958450317,63526,38080,8192,1024,cuda
3,100,64,1,3,False,False,True,True,0.01,1,0.9353434244791666,50000,377.9062120914459,63526,38080,8192,1024,cuda
3,100,64,1,3,False,False,True,True,0.01,2,0.9901936848958334,17500,132.53935194015503,63526,38080,8192,1024,cuda
3,100,64,1,4,False,False,True,True,0.01,0,0.9914957682291666,2500,23.455682516098022,80166,46272,8192,1024,cuda
3,100,64,1,4,False,False,True,True,0.01,1,0.990966796875,2500,23.334630966186523,80166,46272,8192,1024,cuda
3,100,64,1,4,False,False,True,True,0.01,2,0.99169921875,2500,23.30149269104004,80166,46272,8192,1024,cuda
3,100,64,1,5,False,False,True,True,0.01,0,0.9964192708333334,2500,28.093258142471313,96806,54464,8192,1024,cuda
3,100,64,1,5,False,False,True,True,0.01,1,0.9923095703125,2500,28.024975299835205,96806,54464,8192,1024,cuda
