LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
2,100,8,1,2,False,False,True,True,0.01,1,0.20428466796875,50000,255.9300775527954,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,2,0.20330810546875,50000,255.69087862968445,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,3,0.523681640625,50000,255.48283553123474,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,4,0.21136474609375,50000,255.4843635559082,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,5,0.203369140625,50000,255.91248416900635,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,6,0.203125,50000,255.3294656276703,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,7,0.505859375,50000,255.48306155204773,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,8,0.1990966796875,50000,255.62000226974487,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,9,0.22674560546875,50000,255.7272367477417,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,10,0.25335693359375,50000,254.8491654396057,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,11,0.20733642578125,50000,255.58337807655334,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,12,0.20751953125,50000,256.00350522994995,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,13,0.20330810546875,50000,256.14639163017273,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,14,0.20489501953125,50000,255.8136374950409,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,15,0.268310546875,50000,255.42559146881104,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,16,0.20745849609375,50000,255.47786784172058,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,17,0.2000732421875,50000,255.29433822631836,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,18,0.200927734375,50000,254.67750024795532,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,19,0.65032958984375,50000,255.01060843467712,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,20,0.56201171875,50000,255.7108929157257,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,21,0.199951171875,50000,254.95663166046143,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,22,0.21246337890625,50000,254.48010420799255,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,23,0.2022705078125,50000,255.36256170272827,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,24,0.699462890625,50000,255.10243368148804,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,25,0.20953369140625,50000,254.3939130306244,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,26,0.19677734375,50000,254.06298232078552,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,27,0.20001220703125,50000,254.2777292728424,2350,1928,8192,1024,cuda
2,100,8,1,2,False,False,True,True,0.01,28,0.21380615234375,50000,254.2384955883026,2350,1928,8192,1024,cuda
