d1,d2,feat_orig,o1_crossovers,o2_crossovers,n_o1_xover,n_o2_xover
99,15,0.0,[],[],0,0
40,46,3.9647364616394043,[0.521],"[0.401, 2.749]",1,2
42,49,1.7144746780395508,[0.62],"[0.408, 4.363]",1,2
45,99,3.1496076583862305,[0.64],"[0.412, 2.139]",1,2
67,75,4.687466621398926,[0.531],"[0.263, 1.891]",1,2
55,19,2.8992104530334473,[0.586],"[0.516, 3.181]",1,2
70,13,6.706467628479004,[0.493],"[0.641, 2.271]",1,2
20,15,0.0,[],[],0,0
28,55,1.9121237993240356,[],"[0.952, 5.341]",0,2
26,37,0.0,[],[],0,0
89,56,3.504089832305908,[0.495],"[0.31, 2.407]",1,2
75,77,0.0,[],[],0,0
63,70,0.0,[],[],0,0
47,31,3.7371957302093506,[0.098],"[0.751, 4.146]",1,2
3,35,1.4279581308364868,[0.272],"[0.557, 6.677]",1,2
22,49,1.347008466720581,[1.755],"[0.891, 5.82]",1,2
52,83,0.0,[],[],0,0
14,18,1.4264237880706787,[2.117],"[1.836, 9.534]",1,2
25,92,1.7364444732666016,[0.294],"[0.476, 3.611]",1,2
67,69,1.5191645622253418,[1.866],"[1.425, 9.162]",1,2
55,22,3.2554430961608887,[0.421],"[0.26, 2.581]",1,2
12,32,0.0,[],[],0,0
18,21,4.080011367797852,[0.757],"[0.715, 3.438]",1,2
65,22,2.510310411453247,[0.735],"[0.313, 3.135]",1,2
55,82,1.0611873865127563,[3.196],[0.888],1,1
50,66,0.0,[],[],0,0
51,32,6.4441304206848145,[0.882],"[0.662, 2.579]",1,2
92,9,0.0,[],[],0,0
54,43,1.1260249614715576,[2.428],"[1.305, 5.797]",1,2
56,98,0.0,[],[],0,0
43,4,2.506859302520752,[0.597],"[0.828, 1.88]",1,2
98,21,2.0431506633758545,[],[0.825],0,1
36,74,3.4634411334991455,[0.587],"[0.323, 1.882]",1,2
15,53,3.0637173652648926,[2.161],"[1.048, 6.807]",1,2
35,30,0.8380939960479736,[1.062],[1.415],1,1
6,41,2.4754676818847656,[0.306],"[0.368, 3.3]",1,2
49,34,0.0,[],[],0,0
34,72,7.408029079437256,[0.635],"[0.467, 1.758]",1,2
98,84,2.4426817893981934,[1.673],"[1.064, 5.866]",1,2
43,22,2.06449818611145,[0.797],"[0.828, 2.507]",1,2
48,22,2.1749730110168457,[0.297],"[0.353, 2.962]",1,2
48,42,0.0,[],[],0,0
79,44,0.0,[],[],0,0
87,63,1.0230716466903687,[0.09],"[0.827, 4.838]",1,2
64,20,0.0,[],[],0,0
79,46,0.9237415194511414,[],"[0.642, 6.895]",0,2
58,36,1.7529799938201904,[0.209],"[0.418, 4.483]",1,2
43,70,0.0,[],[],0,0
55,16,1.177815556526184,[1.514],"[1.258, 8.708]",1,2
44,97,0.6009410619735718,[],"[3.345, 6.812]",0,2
4,71,0.0,[],[],0,0
52,23,3.023057699203491,[0.461],"[0.397, 2.15]",1,2
73,26,3.213627338409424,[0.581],"[0.266, 3.02]",1,2
93,16,2.292534828186035,[],[],0,0
49,84,0.41126832365989685,[6.248],[3.642],1,1
67,7,4.837521553039551,[0.582],"[0.252, 1.886]",1,2
2,63,4.149497985839844,[0.571],"[0.285, 2.615]",1,2
17,5,1.5233335494995117,[1.515],"[1.423, 8.187]",1,2
61,26,1.3532114028930664,[],[],0,0
39,99,3.9388465881347656,[0.502],"[0.309, 1.894]",1,2
94,71,0.5633594989776611,[4.93],[3.196],1,1
61,89,0.0,[],[],0,0
11,68,3.7037880420684814,[1.738],"[1.077, 5.402]",1,2
79,85,0.0,[],[],0,0
75,92,1.178763508796692,[1.813],"[1.468, 5.66]",1,2
93,92,3.640347957611084,[0.515],"[0.359, 2.709]",1,2
24,16,0.0,[],[],0,0
31,83,2.0383033752441406,[0.392],"[0.502, 4.979]",1,2
75,61,0.9566652774810791,[2.029],"[1.68, 6.8]",1,2
33,69,0.0,[],[],0,0
23,6,0.0,[],[],0,0
84,19,4.413216590881348,[0.554],"[0.534, 2.488]",1,2
35,75,4.043523788452148,[0.374],"[0.292, 1.814]",1,2
14,0,1.2853026390075684,[2.211],"[1.716, 9.967]",1,2
4,98,0.0,[],[],0,0
57,24,3.439481258392334,[0.339],"[0.621, 1.616]",1,2
9,86,0.0,[],[],0,0
96,75,3.5902185440063477,[0.544],"[0.325, 1.999]",1,2
74,8,0.0,[],[],0,0
65,70,0.4304285943508148,[9.758],[8.2],1,1
70,39,7.196538925170898,[0.613],"[0.714, 2.319]",1,2
98,30,2.54968523979187,[],"[0.828, 3.517]",0,2
28,29,5.06003475189209,[0.643],"[0.186, 2.056]",1,2
67,32,1.6093560457229614,[1.846],"[1.075, 8.662]",1,2
24,5,0.0,[],[],0,0
44,26,2.1890904903411865,[0.38],"[0.394, 3.498]",1,2
32,10,4.914855480194092,[0.603],"[0.219, 2.001]",1,2
22,69,0.0,[],[],0,0
56,86,0.0,[],[],0,0
39,13,0.0,[],[],0,0
73,54,4.923757553100586,[0.528],"[0.204, 1.97]",1,2
16,34,2.487259864807129,[1.418],"[1.326, 5.806]",1,2
