d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
98,84,1.673,10.0,5.8365,8.327,
43,22,,,,,no_o2_crossover_in_bounds
48,22,,,,,no_o2_crossover_in_bounds
48,42,,,,,no_o1_crossover
79,44,,,,,no_o1_crossover
87,63,,,,,no_o2_crossover_in_bounds
64,20,,,,,no_o1_crossover
79,46,,,,,no_o1_crossover
58,36,,,,,no_o2_crossover_in_bounds
43,70,,,,,no_o1_crossover
55,16,1.514,8.709,5.1114999999999995,7.194999999999999,
44,97,,,,,no_o1_crossover
4,71,,,,,no_o1_crossover
52,23,0.0,0.397,0.1985,0.397,
73,26,0.0,0.267,0.1335,0.267,
93,16,,,,,no_o1_crossover
49,84,,,,,no_o2_crossover_in_bounds
67,7,0.0,0.252,0.126,0.252,
2,63,0.0,0.285,0.1425,0.285,
17,5,1.515,8.187,4.851,6.672,
61,26,,,,,no_o1_crossover
39,99,0.0,0.309,0.1545,0.309,
94,71,,,,,no_o2_crossover_in_bounds
61,89,,,,,no_o1_crossover
11,68,1.738,10.0,5.869,8.262,
79,85,,,,,no_o1_crossover
75,92,1.813,10.0,5.9065,8.187,
93,92,0.0,0.359,0.1795,0.359,
24,16,,,,,no_o1_crossover
31,83,,,,,no_o2_crossover_in_bounds
75,61,2.029,6.8,4.4145,4.771,
33,69,,,,,no_o1_crossover
23,6,,,,,no_o1_crossover
84,19,0.0,0.534,0.267,0.534,
35,75,0.0,0.292,0.146,0.292,
14,0,2.211,9.967,6.089,7.756,
4,98,,,,,no_o1_crossover
57,24,,,,,no_o2_crossover_in_bounds
9,86,,,,,no_o1_crossover
96,75,0.0,0.325,0.1625,0.325,
74,8,,,,,no_o1_crossover
65,70,,,,,no_o2_crossover_in_bounds
70,39,,,,,no_o2_crossover_in_bounds
98,30,,,,,no_o1_crossover
28,29,0.0,0.186,0.093,0.186,
67,32,1.846,8.662,5.2540000000000004,6.816000000000001,
24,5,,,,,no_o1_crossover
44,26,,,,,no_o2_crossover_in_bounds
32,10,0.0,0.219,0.1095,0.219,
22,69,,,,,no_o1_crossover
56,86,,,,,no_o1_crossover
39,13,,,,,no_o1_crossover
73,54,0.0,0.204,0.102,0.204,
16,34,1.418,10.0,5.709,8.582,
79,8,,,,,no_o1_crossover
98,27,0.0,0.315,0.1575,0.315,
42,74,0.0,0.18,0.09,0.18,
12,72,,,,,no_o2_crossover_in_bounds
42,14,,,,,no_o1_crossover
77,75,0.0,0.227,0.1135,0.227,
88,41,,,,,no_o2_crossover_in_bounds
57,68,,,,,no_o1_crossover
18,64,0.0,0.428,0.214,0.428,
5,86,1.226,10.0,5.6129999999999995,8.774000000000001,
8,19,0.0,0.477,0.2385,0.477,
9,72,,,,,no_o2_crossover_in_bounds
39,61,0.0,0.403,0.2015,0.403,
2,50,0.0,0.294,0.147,0.294,
46,63,,,,,no_o1_crossover
78,58,,,,,no_o2_crossover_in_bounds
6,58,1.735,10.0,5.8675,8.265,
35,88,,,,,no_o2_crossover
33,55,,,,,no_o1_crossover
76,13,0.0,0.624,0.312,0.624,
14,53,1.935,8.385,5.16,6.449999999999999,
8,58,,,,,no_o2_crossover_in_bounds
4,67,,,,,no_o1_crossover
58,33,,,,,no_o2_crossover_in_bounds
78,50,0.0,0.339,0.1695,0.339,
97,91,,,,,no_o1_crossover
62,76,,,,,no_o1_crossover
8,72,0.0,0.509,0.2545,0.509,
11,83,,,,,no_o2_crossover_in_bounds
70,50,0.0,0.399,0.1995,0.399,
70,33,0.0,0.459,0.2295,0.459,
85,49,0.0,0.422,0.211,0.422,
71,19,0.0,0.496,0.248,0.496,
72,33,1.317,10.0,5.6585,8.683,
32,75,0.0,0.263,0.1315,0.263,
6,20,,,,,no_o2_crossover_in_bounds
21,8,1.86,6.202,4.031,4.342,
10,66,,,,,no_o1_crossover
89,15,,,,,no_o2_crossover_in_bounds
87,85,,,,,no_o1_crossover
92,95,0.0,0.512,0.256,0.512,
45,61,,,,,no_o2_crossover_in_bounds
17,73,1.437,7.259,4.348,5.822,
87,4,,,,,no_o2_crossover_in_bounds
9,68,,,,,no_o1_crossover
95,35,,,,,no_o1_crossover
11,81,,,,,no_o2_crossover_in_bounds
53,33,0.0,0.433,0.2165,0.433,
43,60,,,,,no_o1_crossover
10,81,,,,,no_o1_crossover
47,3,,,,,no_o2_crossover_in_bounds
77,9,0.0,0.358,0.179,0.358,
91,21,,,,,no_o2_crossover_in_bounds
86,94,0.0,0.429,0.2145,0.429,
81,45,,,,,no_o2_crossover_in_bounds
17,67,,,,,no_o1_crossover
17,35,0.0,0.465,0.2325,0.465,
43,58,,,,,no_o1_crossover
17,24,0.0,0.285,0.1425,0.285,
43,90,,,,,no_o2_crossover_in_bounds
12,62,0.0,0.331,0.1655,0.331,
19,1,,,,,no_o2_crossover_in_bounds
65,43,,,,,no_o2_crossover_in_bounds
33,75,,,,,no_o2_crossover_in_bounds
43,99,0.0,0.56,0.28,0.56,
8,63,0.0,0.315,0.1575,0.315,
97,24,0.0,0.228,0.114,0.228,
0,45,0.0,0.349,0.1745,0.349,
21,82,,,,,no_o2_crossover_in_bounds
19,88,1.193,6.853,4.023,5.66,
12,21,,,,,no_o1_crossover
74,13,,,,,no_o1_crossover
98,79,,,,,no_o2_crossover_in_bounds
26,43,0.0,0.425,0.2125,0.425,
10,26,3.356,7.893,5.624499999999999,4.537,
22,79,,,,,no_o1_crossover
58,30,1.076,9.319,5.197500000000001,8.243,
65,54,0.0,0.27,0.135,0.27,
43,74,0.0,0.429,0.2145,0.429,
52,74,0.0,0.272,0.136,0.272,
1,74,0.0,0.185,0.0925,0.185,
77,56,0.0,0.289,0.1445,0.289,
52,14,,,,,no_o1_crossover
63,17,,,,,no_o1_crossover
56,95,,,,,no_o1_crossover
90,85,,,,,no_o1_crossover
96,26,,,,,no_o2_crossover_in_bounds
90,64,1.622,9.72,5.671,8.098,
43,71,,,,,no_o1_crossover
95,90,,,,,no_o1_crossover
25,75,0.0,0.34,0.17,0.34,
51,30,0.0,0.69,0.345,0.69,
97,16,,,,,no_o2_crossover_in_bounds
45,53,,,,,no_o1_crossover
75,47,,,,,no_o1_crossover
74,81,,,,,no_o2_crossover_in_bounds
36,78,,,,,no_o1_crossover
26,77,,,,,no_o1_crossover
70,36,0.0,0.483,0.2415,0.483,
34,42,,,,,no_o2_crossover_in_bounds
8,80,0.0,0.281,0.1405,0.281,
26,73,,,,,no_o1_crossover
14,50,0.0,0.328,0.164,0.328,
30,43,0.0,0.333,0.1665,0.333,
67,66,2.035,9.118,5.5765,7.083,
69,93,,,,,no_o2_crossover_in_bounds
10,27,,,,,no_o1_crossover
58,28,,,,,no_o2_crossover_in_bounds
76,16,1.606,7.228,4.417,5.622,
1,7,0.0,0.231,0.1155,0.231,
9,77,,,,,no_o1_crossover
57,3,,,,,no_o1_crossover
6,92,0.0,0.337,0.1685,0.337,
71,55,,,,,no_o2_crossover_in_bounds
54,66,,,,,no_o1_crossover
64,89,,,,,no_o1_crossover
36,20,,,,,no_o1_crossover
21,73,1.81,10.0,5.905,8.19,
13,78,,,,,no_o2_crossover_in_bounds
88,30,,,,,no_o1_crossover
31,40,3.793,8.56,6.176500000000001,4.767,
90,4,,,,,no_o2_crossover_in_bounds
16,44,,,,,no_o2_crossover_in_bounds
99,67,,,,,no_o1_crossover
62,50,2.087,6.253,4.17,4.166,
33,40,,,,,no_o1_crossover
69,87,0.0,0.395,0.1975,0.395,
93,25,0.0,0.408,0.204,0.408,
87,79,,,,,no_o1_crossover
79,59,,,,,no_o1_crossover
99,0,,,,,no_o1_crossover
40,69,0.0,0.842,0.421,0.842,
35,50,,,,,no_o2_crossover_in_bounds
12,24,0.0,0.318,0.159,0.318,
93,22,0.0,0.327,0.1635,0.327,
95,70,,,,,no_o1_crossover
65,99,0.0,0.304,0.152,0.304,
43,3,,,,,no_o1_crossover
23,84,,,,,no_o1_crossover
4,32,,,,,no_o1_crossover
17,1,1.88,7.7,4.79,5.82,
18,86,,,,,no_o2_crossover
12,37,,,,,no_o2_crossover_in_bounds
30,11,1.524,10.0,5.7620000000000005,8.475999999999999,
76,87,,,,,no_o2_crossover_in_bounds
15,89,,,,,no_o2_crossover_in_bounds
34,11,,,,,no_o2_crossover_in_bounds
6,45,0.0,0.343,0.1715,0.343,
17,9,,,,,no_o1_crossover
46,98,,,,,no_o1_crossover
11,19,0.0,0.528,0.264,0.528,
82,80,0.0,0.267,0.1335,0.267,
78,78,,,,,no_o1_crossover
46,51,,,,,no_o1_crossover
54,71,,,,,no_o1_crossover
20,96,,,,,no_o1_crossover
84,62,0.0,0.235,0.1175,0.235,
49,70,,,,,no_o1_crossover
67,42,,,,,no_o2_crossover_in_bounds
89,8,1.881,8.576,5.2285,6.695,
5,20,0.0,0.358,0.179,0.358,
83,56,0.0,0.294,0.147,0.294,
2,82,,,,,no_o2_crossover_in_bounds
70,81,,,,,no_o2_crossover_in_bounds
38,46,,,,,no_o2_crossover_in_bounds
4,17,,,,,no_o1_crossover
97,51,,,,,no_o1_crossover
17,71,1.661,6.812,4.2365,5.151,
52,27,,,,,no_o1_crossover
